 Trailer late ah parthavanga like podunga,Positive ,1
 Move pathutu vanthu trailer pakurvnga yaru,Positive ,1
 Puthupetai dhanush  ah yarellam pathinga,Positive ,1
" Dhanush oda character ,puthu sa erukay , mass ta",Positive ,1
 vera level ippa pesungada mokka nu thalaivaaaaaa,Positive ,1
 Thala mass . U1 bgm.     Vera level,Positive ,1
 ivara pathta death vadi madiri irukku,Negative ,0
 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive ,1
 Aiyoo thala mass pannita thala,Positive ,1
 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Mixed_feelings ,2
 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,Negative ,0
 Remake of Malayalam Mohanlal movie Devadoodhan,Negative ,0
 Tharamaana sirappaana sambavam inimeal ta paaka pora....,Positive ,1
 Viswasam trailer paathutu Inka vanthavanga like panuga,unknown_state ,2
 Maran  kattu kattitamnue verithanam thalivaaàa,Positive ,1
 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive ,1
 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Positive ,1
 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,Mixed_feelings ,2
 Kanithan + mugamoodi Neenga nambalainalum ithan nesam,Positive ,1
 Enakku iru mugan trailer gnabagam than varuthu,Positive ,1
 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,Positive ,1
 Sakthimaan fans like Sivakarthikeyen fans comment,Mixed_feelings ,2
 rajini and akshay fans hit like,Mixed_feelings ,2
 1 hour 1 million likes,Positive ,1
 Raww vana padama iruku  all the best,Positive ,1
 Thalaiva.. full Support from kerala Mohanlal Fans,unknown_state ,2
 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,Negative ,0
 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive ,1
 Rajini ah vida akshay mass ah irukane,Negative ,0
 Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive ,1
 Marana mass marana style marna gethu mass trailer rajinified,Positive ,1
 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,unknown_state ,2
 Diwali annante aniyan ullaltha  Step back bigil,Mixed_feelings ,2
 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,Negative ,0
 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative ,0
 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢,Negative ,0
 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,Negative ,0
" Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines",Positive ,1
 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,Positive ,1
 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Positive ,1
 epdi like pottavan Eallarum seathupogada,Mixed_feelings ,2
 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.,Positive ,1
 Supper dhanush Anna mass waiting asuran,Positive ,1
 Vera lvl thalaiva u r great,Positive ,1
 Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,Negative ,0
 Sala kuch smjh nhi aaya pr mja aaya,not-Tamil ,2
 Ellam avan sayal movie mathiriya irukku🤔,Mixed_feelings ,2
 Boss you looking so handsome ND young kekaa,Positive ,1
 Pattaya kelapitey Siva!!!  Awesome!!!,Mixed_feelings ,2
 Dahaaaaaaa chitii come back I am waiting get ready to 2.0,Mixed_feelings ,2
" Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala",Mixed_feelings ,2
" Looks thrilling, thala get up super as lawyer , dai pandey neeya da",Positive ,1
 Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative ,0
 Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Positive ,1
 1:43  Thala da    By thalapathy fan,Positive ,1
 Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive ,1
 Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,unknown_state ,2
 Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive ,1
 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Mixed_feelings ,2
 But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive ,1
 Semmma style... rajini sir is back...,Positive ,1
 My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive ,1
 Idduke ₹500 va tarlam... kolla mass,Mixed_feelings ,2
 Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Positive ,1
 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Positive ,1
 92k views 132k likes  Fraud,Mixed_feelings ,2
 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????,Positive ,1
 Dai ranjit nee idha parthu film eduka kathuko,Positive ,1
 Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive ,1
 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Positive ,1
